asset,year,strategy,horizon,threshold,val_fitness,val_return,val_sharpe,val_mdd,val_brier,val_auc,val_accuracy,expected_horizon_return_from_validation,test_return,test_sharpe,test_mdd,test_ann_vol
QQQ,2017,MOMENTUM,1,,71.19133204059115,140.45341780740475,1.000554376441969,-0.07186247910638643,,,,1.1088566240082913,0.17532155027985552,1.0633278039028378,-0.06453942782395439,0.16535935285690834
ECH,2017,RF,5,0.572,1.1430328026354617,0.12750224742355631,1.0995848054608544,-0.040606253074341736,0.24664978774333843,0.5820263091323047,0.5436507936507936,0.017499450134596445,0.0,0.0,0.0,0.0
CPER,2017,MEANREV,1,,72.156033478951,142.3122626832768,1.000652137312604,-0.0014999999999999458,,,,18.696432738572845,0.027322712801536975,0.7749776193979153,-0.018487587428394958,0.035743772047012706
QQQ,2018,BUYHOLD,5,,80.92098188103088,159.91838761884006,1.001603412861809,-0.07963068250190752,,,,0.5128348908960123,0.11077999845054265,0.5399797710381916,-0.215985929916383,0.2558520638386845
ECH,2018,BUYHOLD,5,,86.99845905307835,172.12032715211782,1.0024013037063972,-0.12821165337391527,,,,0.5321765176687139,-0.10175293230447102,-0.4040441115644869,-0.1551173610253408,0.2114918714003595
CPER,2018,BUYHOLD,5,,76.16874898444479,150.41921172057366,1.0013021403103097,-0.08431803230469559,,,,0.5182335976533133,-0.09728290124798877,-0.339495350898359,-0.1796183267503917,0.22692706360361964
QQQ,2019,BUYHOLD,20,,0.6728817337511994,0.14688681950987936,0.6814636941764307,-0.16405074036034195,,,,0.009234659381962048,0.5023099568110738,2.0954317757750167,-0.10398036124282162,0.20437725289048675
ECH,2019,HGB,20,0.638,1.8493084916896994,0.25729760610878083,1.7392308728126675,-0.03714236835471729,0.23342897203425964,0.6709346991037132,0.6031746031746031,0.020488241274853148,-0.09494982885088477,-0.36838589391756255,-0.12170176941543609,0.21138560636658532
CPER,2019,HGB,5,0.52,0.3938217744566981,0.05210303433203589,0.4024118393875723,-0.06928316419378433,0.24843088645358263,0.5838781339257378,0.5515873015873016,0.0008094455308643309,-0.0034443574044328296,0.038979596224005854,-0.09084144708799635,0.13119944588000768
QQQ,2020,BUYHOLD,5,,2.6160016408678377,0.612071701563877,2.3550999618909003,-0.09026834361000313,,,,0.00871132621398046,0.3957849029505438,1.043925191071125,-0.24830019180973673,0.39225397808849544
ECH,2020,RF,20,0.541,0.44765241108130915,0.06355217660512302,0.4614721541583636,-0.09119166275923196,0.2374702259078594,0.7319997393627419,0.5674603174603174,0.010114612864026535,0.017285394051383296,0.2572451264493047,-0.3870573018599198,0.4257483921931171
CPER,2020,HGB,20,0.52,1.6463086327975007,0.22321564625377222,1.5670610670756415,-0.06472051481005392,0.23544677953302207,0.6503343621399177,0.626984126984127,0.023122128411943436,0.03611372908505861,0.2756887840928125,-0.16965760034995303,0.20213517572316894
QQQ,2021,MOMENTUM,20,,1.3606876333864597,0.2755296635624853,1.2748520782726978,-0.10385855333496141,,,,0.011137907825215322,0.07060057214639448,0.48677961877193854,-0.1174025568270608,0.16957311714419582
ECH,2021,CASH,1,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
CPER,2021,MEANREV,5,,1.6073992742699663,0.15816490164654828,1.5418854236791097,-0.027137200464835365,,,,0.017844246427193285,0.0781503031248203,1.441199650815537,-0.03953255589532789,0.05319011512653467
QQQ,2022,HGB,5,0.588,2.742719972959707,0.5795367588909537,2.4834083162379375,-0.06091344544741395,0.22400468573657978,0.6027168234064786,0.6309523809523809,0.014298319641888192,-0.4544778536202093,-1.6046584069830312,-0.4599175846365152,0.3420177843769392
ECH,2022,HGB,20,0.561,0.2521928984864966,0.03036866899345303,0.27959263311240806,-0.08516813824527592,0.24076610519448216,0.6180695564516129,0.5714285714285714,0.025118242062713594,0.28301513934136113,1.055391420771576,-0.1356039572069735,0.27170336459372196
CPER,2022,BUYHOLD,1,,1.7004101425036557,0.4902728909806522,1.5196687921946874,-0.12879019036271555,,,,0.0017770444642131156,-0.14957251570847152,-0.28817831994908777,-0.2303607097231546,0.35064798161615535
QQQ,2023,CASH,1,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
ECH,2023,RF,20,0.565,2.6208428143162914,0.5822139055640598,2.3732018838244366,-0.08693204458034998,0.23865732095285042,0.6228104575163399,0.623015873015873,0.04479198997316208,-0.0362630254912234,-0.3804104254594918,-0.09129431117087883,0.08780522218545035
CPER,2023,RF,1,0.521,0.9213067622644127,0.10326671292180634,0.8954206073707348,-0.05149440313445064,0.2490728238028298,0.5272565922920892,0.5436507936507936,0.003931340858029592,0.1754210381990784,1.2933195545367115,-0.06360050250233562,0.13269696964362002
QQQ,2024,BUYHOLD,1,,2.391543509625456,0.6357440058582169,2.118726111284675,-0.09010920917665444,,,,0.002027386644450845,0.44888196124463065,1.609606088429223,-0.13807983127041135,0.24987880695608922
ECH,2024,HGB,1,0.52,1.8210877056321402,0.3857278623243636,1.6651437338779183,-0.07383991881591978,0.24332960453820124,0.5958964646464647,0.5753968253968254,0.005628538134755854,0.06656298409758943,0.537422323813715,-0.0896314353827008,0.13732377571414406
CPER,2024,HGB,1,0.52,1.474516403969116,0.2357911366247223,1.396897384494659,-0.08055309767580843,0.24406589170981197,0.5894624062519696,0.5436507936507936,0.003458754093304208,-0.12504002751521892,-0.7119768221059385,-0.22878570770793372,0.16774703258408852
QQQ,2025,BUYHOLD,20,,1.8464728151332082,0.4761769011078405,1.6774242802144936,-0.13807983127041135,,,,0.03256972095074116,0.06546820461303215,0.36708683010943577,-0.24674204626640195,0.2778089500920558
ECH,2025,MEANREV,20,,0.725660800148296,0.030181686951481934,0.7187167452920484,-0.016293577238986834,,,,0.029996857726890723,0.08168223314645617,0.966209827027827,-0.03210442445339412,0.08555302574984824
CPER,2025,BUYHOLD,5,,0.8163075127097701,0.19784069720162445,0.8013221104537156,-0.16786989268951547,,,,0.003608613201037294,0.2244814276818341,0.7428319384380837,-0.23481303825305255,0.3702436373757853
QQQ,2026,MOMENTUM,20,,1.0629113366131846,0.16720962196142763,1.0201879088057708,-0.08176276634659996,,,,0.017322799978633553,0.13085833681610848,1.0525742076685938,-0.06742315591019532,0.17761209174052767
ECH,2026,RF,1,0.52,3.0847744870362095,0.4611472583073948,2.8664055810856732,-0.024409446406322144,0.24750080387545575,0.5688405797101449,0.5,0.011510651665048059,0.04125138287940566,0.3859731125017751,-0.09734364133585305,0.19452736456157182
CPER,2026,RF,20,0.54,2.0817032810385077,0.24467798049097467,1.9778394627421028,-0.036950343898165205,0.22604428879403987,0.7867161410018552,0.6626984126984127,0.05579373041032097,0.22390553496796128,1.2503854867046078,-0.09366253758013066,0.24989238598567218
