Date,asset,year,strategy,horizon,threshold,signal,p_up,position_asset_level,turnover_asset_level,daily_ret_clp,strategy_ret_asset_level,price_usd,usdclp,price_clp
2017-01-03,QQQ,2017,MOMENTUM,1,,1.0,,0.0,0.0,0.012537790595988474,0.0,112.04058074951172,656.97998046875,73608.41855252162
2017-01-03,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.003192724490651888,-0.0,16.239999771118164,656.97998046875,10669.354732441716
2017-01-03,ECH,2017,RF,5,0.572,0.0,0.39907918375464074,0.0,0.0,-0.0012682101700246529,-0.0,27.309417724609375,656.97998046875,17941.740723326802
2017-01-04,QQQ,2017,MOMENTUM,1,,1.0,,0.0,1.0,0.004565180479934483,-0.0015,112.6498031616211,656.4099731445312,73944.45426805643
2017-01-04,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,0.023741531366673563,0.0,16.639999389648438,656.4099731445312,10922.661552484147
2017-01-04,ECH,2017,RF,5,0.572,0.0,0.41025889351865596,0.0,0.0,0.00047393300569487096,0.0,27.346086502075195,656.4099731445312,17950.243906435207
2017-01-05,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,0.005259289963699176,0.005259289963699176,113.28712463378906,656.1500244140625,74333.34959425963
2017-01-05,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.010007583772215445,-0.0,16.479999542236328,656.1500244140625,10813.352101982106
2017-01-05,ECH,2017,RF,5,0.572,0.0,0.39389435911812665,0.0,0.0,0.0138112176398546,0.0,27.734752655029297,656.1500244140625,18198.158631715458
2017-01-06,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,-0.00122352998807862,-0.00122352998807862,114.28060913085938,649.6500244140625,74242.40051191673
2017-01-06,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.010507069860505203,-0.0,16.469999313354492,649.6500244140625,10699.735456020338
2017-01-06,ECH,2017,RF,5,0.572,0.0,0.41215867736444095,0.0,0.0,-0.017236547188886675,-0.0,27.529415130615234,649.6500244140625,17884.48521170905
2017-01-09,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,0.02976604045149389,0.02976604045149389,114.65552520751953,666.7999877929688,76452.30280877044
2017-01-09,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,0.033877140673292505,0.0,16.59000015258789,666.7999877929688,11062.211899230955
2017-01-09,ECH,2017,RF,5,0.572,0.0,0.4193545253188281,0.0,0.0,0.017649664814523902,0.0,27.29475212097168,666.7999877929688,18200.140381076024
2017-01-10,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,0.005975443616459408,0.0,17.040000915527344,653.0700073242188,11128.313522708137
2017-01-10,ECH,2017,RF,5,0.572,0.0,0.4073596548830676,0.0,0.0,-0.015591183957297639,-0.0,27.434085845947266,653.0700073242188,17916.378644346027
2017-01-10,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,-0.01842897632285445,-0.01842897632285445,114.90860748291016,653.0700073242188,75043.36513047991
2017-01-11,ECH,2017,RF,5,0.572,0.0,0.4082322185123581,0.0,0.0,0.02001281647074693,0.0,27.749420166015625,658.5700073242188,18274.935841975734
2017-01-11,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.000455280213931486,-0.0,16.889999389648438,658.5700073242188,11123.247021746822
2017-01-11,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,0.011135895992235856,0.011135895992235856,115.21788024902344,658.5700073242188,75879.04023948032
2017-01-12,ECH,2017,RF,5,0.572,0.0,0.4085451331353623,0.0,0.0,0.008266171070152373,0.0,28.167421340942383,654.1599731445312,18425.999587941566
2017-01-12,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,0.01918012451960771,0.0,17.329999923706055,654.1599731445312,11336.592284686281
2017-01-12,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,-0.008231470882200775,-0.008231470882200775,115.0398178100586,654.1599731445312,75254.4441291797
2017-01-13,QQQ,2017,MOMENTUM,1,,0.0,,1.0,0.0,0.0024708099570807107,0.0024708099570807107,115.43346405029297,653.5399780273438,75440.38355904864
2017-01-13,ECH,2017,RF,5,0.572,0.0,0.3904286762402082,0.0,0.0,0.007375474360546308,0.0,28.402088165283203,653.5399780273438,18561.900075469865
2017-01-13,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,0.0140409061682496,0.0,17.59000015258789,653.5399780273438,11495.768313223263
2017-01-17,QQQ,2017,MOMENTUM,1,,1.0,,1.0,1.0,-0.012828310180752145,-0.014328310180752145,115.08671569824219,647.0999755859375,74472.61091859825
2017-01-17,ECH,2017,RF,5,0.572,0.0,0.42062421221890084,0.0,0.0,-0.010365497650285938,-0.0,28.38741683959961,647.0999755859375,18369.49674385274
2017-01-17,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.035747612800387185,-0.0,17.1299991607666,647.0999755859375,11084.822038719198
2017-01-18,QQQ,2017,MOMENTUM,1,,1.0,,0.0,1.0,-0.0031982984811802506,-0.0015,115.32099151611328,643.719970703125,74234.42528020777
2017-01-18,ECH,2017,RF,5,0.572,0.0,0.4380593854221398,0.0,0.0,-0.0005972523037942601,-0.0,28.519428253173828,643.719970703125,18358.525519602932
2017-01-18,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.005803936213470529,-0.0,17.1200008392334,643.719970703125,11020.486438668799
2017-01-19,QQQ,2017,MOMENTUM,1,,0.0,,1.0,0.0,0.006282184110909972,0.006282184110909972,115.2647476196289,648.0800170898438,74700.77960718563
2017-01-19,ECH,2017,RF,5,0.572,0.0,0.4616284666407492,0.0,0.0,0.0036661726911502157,0.0,28.431413650512695,648.0800170898438,18425.831044512684
2017-01-19,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.00028366698320014816,-0.0,17.0,648.0800170898438,11017.360290527344
2017-01-20,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,0.027246190495113787,0.0,17.139999389648438,660.2999877929688,11317.541387756355
2017-01-20,QQQ,2017,MOMENTUM,1,,1.0,,1.0,1.0,0.021092644989280984,0.019592644989280983,115.517822265625,660.2999877929688,76276.41663186252
2017-01-20,ECH,2017,RF,5,0.572,0.0,0.43576329998450614,0.0,0.0,0.024637249363226532,0.0,28.592750549316406,660.2999877929688,18879.792838681024
2017-01-23,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.013598551006722581,-0.0,17.329999923706055,644.1799926757812,11163.639223924256
2017-01-23,ECH,2017,RF,5,0.572,0.0,0.4459008309980494,0.0,0.0,-0.014154103487768133,-0.0,28.89342498779297,644.1799926757812,18612.56629701471
2017-01-23,QQQ,2017,MOMENTUM,1,,0.0,,0.0,1.0,-0.023621710479259317,-0.0015,115.61153411865234,644.1799926757812,74474.6372017893
2017-01-24,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,0.011455764761146181,0.0,17.729999542236328,636.8599853515625,11291.527248751838
2017-01-24,QQQ,2017,MOMENTUM,1,,1.0,,1.0,1.0,-0.004710723703652886,-0.0062107237036528855,116.38948822021484,636.8599853515625,74123.80776300188
2017-01-24,ECH,2017,RF,5,0.572,0.0,0.4378054673863765,0.0,0.0,-0.008603252730320698,-0.0,28.974088668823242,636.8599853515625,18452.437685201643
2017-01-25,QQQ,2017,MOMENTUM,1,,1.0,,0.0,1.0,0.03423637450067685,-0.0015,117.56101989746094,652.0999755859375,76661.53820499219
2017-01-25,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,0.023929891318202667,0.0,17.729999542236328,652.0999755859375,11561.732268630993
2017-01-25,ECH,2017,RF,5,0.572,0.0,0.39417029592188974,0.0,0.0,0.03870197987250945,0.0,29.392093658447266,652.0999755859375,19166.58355709305
2017-01-26,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,-0.005410468997893658,-0.005410468997893658,117.68291473388672,647.9000244140625,76246.76332920324
2017-01-26,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.021010630704020428,-0.0,17.469999313354492,647.9000244140625,11318.81298163603
2017-01-26,ECH,2017,RF,5,0.572,0.0,0.3884511673455403,0.0,0.0,-0.012638150103596812,-0.0,29.208755493164062,647.9000244140625,18924.35339712538
2017-01-27,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,-0.0129806274466715,-0.0129806274466715,117.90782928466797,638.27001953125,75257.03250041232
2017-01-27,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.006404797212879565,-0.0,17.6200008392334,638.27001953125,11246.318279798143
2017-01-27,ECH,2017,RF,5,0.572,0.0,0.4435374580098857,0.0,0.0,-0.024509565039028902,-0.0,28.922752380371094,638.27001953125,18460.525726716965
2017-01-30,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,0.00588905572404852,0.0,17.420000076293945,649.4000244140625,11312.548474838259
2017-01-30,ECH,2017,RF,5,0.572,0.0,0.46074797699029396,0.0,0.0,0.005571258072347263,0.0,28.58542251586914,649.4000244140625,18563.37407969171
2017-01-30,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,0.009512052963598583,0.009512052963598583,116.98934173583984,649.4000244140625,75972.8813794395
2017-01-31,ECH,2017,RF,5,0.572,0.0,0.4624863784415856,0.0,0.0,-0.005176594871294182,-0.0,28.512086868286133,647.7000122070312,18467.279012636864
2017-01-31,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,-0.004615507561713694,-0.004615507561713694,116.75502014160156,647.7000122070312,75622.22797094751
2017-01-31,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,0.01799401676782386,0.0,17.780000686645508,647.7000122070312,11516.10666178132
2017-02-01,ECH,2017,RF,5,0.572,0.0,0.4859230247334594,0.0,0.0,0.0022642344361221145,0.0,28.56341552734375,648.0,18509.09326171875
2017-02-01,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.005163764610201627,-0.0,17.68000030517578,648.0,11456.640197753906
2017-02-01,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,0.007369697211530024,0.007369697211530024,117.56101989746094,648.0,76179.54089355469
2017-02-02,QQQ,2017,MOMENTUM,1,,1.0,,1.0,0.0,-0.003806198964108387,-0.003806198964108387,117.45796203613281,646.0999755859375,75889.58640391938
2017-02-02,ECH,2017,RF,5,0.572,0.0,0.46329462819400435,0.0,0.0,0.013451436812638162,0.0,29.03276252746582,646.0999755859375,18758.067160187988
2017-02-02,CPER,2017,MEANREV,1,,0.0,,0.0,0.0,-0.01533915812247344,-0.0,17.459999084472656,646.0999755859375,11280.904982208274
