asset,test_year,strategy,horizon,threshold,robust_score,validation_positive_rate,median_val_return,median_val_sharpe,worst_val_return,worst_val_drawdown,test_return,test_sharpe,test_mdd,test_ann_vol
QQQ,2017,LOGIT,20,0.52,1.266522845647564,0.6666666666666666,0.27358608821885255,1.9362428898330954,-0.06785906906689221,-0.22336591439800868,-0.01673401851897982,-0.024002773025436203,-0.09689537088575617,0.16201003078440818
ECH,2017,RF,5,0.64,0.8280242260784643,0.6666666666666666,0.06256710079310235,1.2163597553943453,0.0,-0.013873892508432184,0.0,0.0,0.0,0.0
CPER,2017,CASH,5,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QQQ,2018,MEANREV,1,,1.3850831416909795,1.0,0.04696658600377113,1.8163571546462003,0.008844369927337503,-0.09930458110654306,-0.011975765983053943,-0.04487532089493699,-0.12362924732469105,0.11722719592596331
ECH,2018,HGB,5,0.52,1.0511369884940411,0.6666666666666666,0.19857756573542762,1.4866547388504985,-0.05171046810509339,-0.17490060286265197,-0.020778919682296393,-0.055291518438685655,-0.09718171985796209,0.15764545650983372
CPER,2018,HGB,20,0.56,0.8142233657565561,0.6666666666666666,0.12513485120528434,1.1069157255779678,-0.0033514449286438097,-0.10101245590589425,-0.07951818063384941,-0.44356566333872494,-0.17664837699701663,0.15906736861032875
QQQ,2019,MOMENTUM,1,,0.3544501771747661,1.0,0.06587453797727894,0.546621738719328,0.04231113951389909,-0.11794533168983357,0.21560027512931157,1.2720068647389338,-0.0970099392118583,0.16418627131985275
ECH,2019,HGB,5,0.52,1.1324832785349717,0.6666666666666666,0.19857756573542762,1.4866547388504985,-0.020778919682296393,-0.09718171985796209,-0.03433500154109492,-0.1370946396675048,-0.1476973283201768,0.16090375154893655
CPER,2019,HGB,20,0.6,0.6102193257885024,1.0,0.07711108865098604,0.7538496398224993,0.028592154260260516,-0.0984395025196172,0.057570029704313574,0.6272082237200828,-0.062123022488548285,0.09664281437249224
QQQ,2020,MOMENTUM,1,,0.9464420771571145,1.0,0.18150232779661213,1.0963831650233384,0.06587453797727894,-0.11794533168983357,0.24138857466346297,1.1309025641380521,-0.1038579464366618,0.21000832090819413
ECH,2020,LOGIT,5,0.6,0.3906589118736457,0.6666666666666666,0.09683782789848272,0.6981112598625333,-0.03981207872168313,-0.16366180892430537,-0.17652287624951157,-0.33895126605584225,-0.3953025288795341,0.3665569076804277
CPER,2020,HGB,20,0.52,0.8585711285952308,0.6666666666666666,0.2096797563433057,1.5547866185629111,-0.17094019157045992,-0.21323336383445823,0.036997156813862064,0.28616705885609,-0.16393200145801434,0.18849874134395764
QQQ,2021,MOMENTUM,1,,0.9903799022331461,1.0,0.21560027512931157,1.1309025641380521,0.06587453797727894,-0.11794533168983357,0.07060056049558217,0.4867789846548904,-0.11740300287670913,0.1695734230042851
