Date,asset,year,strategy,horizon,threshold,signal,p_up,gross_asset_ret,turnover_asset,net_asset_ret,position_asset,daily_ret_clp,price_usd,usdclp,price_clp
2017-01-03,QQQ,2017,LOGIT,20,0.52,1.0,0.694656789101167,0.0,0.0,0.0,0.0,0.012537859544669683,112.04058837890625,656.97998046875,73608.42356488109
2017-01-03,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.003192724490651888,16.239999771118164,656.97998046875,10669.354732441716
2017-01-03,ECH,2017,RF,5,0.64,0.0,0.3820560217136476,-0.0,0.0,-0.0,0.0,-0.0012681404164424093,27.309419631958008,656.97998046875,17941.74197641667
2017-01-04,QQQ,2017,LOGIT,20,0.52,1.0,0.7947392905847477,0.0,1.0,-0.0015,0.0,0.004564976002479515,112.64978790283203,656.4099731445312,73944.44425203511
2017-01-04,CPER,2017,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.023741531366673563,16.639999389648438,656.4099731445312,10922.661552484147
2017-01-04,ECH,2017,RF,5,0.64,0.0,0.38756823243037347,0.0,0.0,0.0,0.0,0.0004736537857759071,27.346080780029297,656.4099731445312,17950.240150427213
2017-01-05,QQQ,2017,LOGIT,20,0.52,1.0,0.8080493266816954,0.0052595615291088915,0.0,0.0052595615291088915,1.0,0.0052595615291088915,113.28713989257812,656.1500244140625,74333.35960631445
2017-01-05,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.010007583772215445,16.479999542236328,656.1500244140625,10813.352101982106
2017-01-05,ECH,2017,RF,5,0.64,0.0,0.3991727837455816,0.0,0.0,0.0,0.0,0.013811360054449828,27.734750747680664,656.1500244140625,18198.157380208606
2017-01-06,QQQ,2017,LOGIT,20,0.52,1.0,0.7968870911097707,-0.0012233978005835588,0.0,-0.0012233978005835588,1.0,-0.0012233978005835588,114.2806396484375,649.6500244140625,74242.4203376621
2017-01-06,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.010507069860505203,16.469999313354492,649.6500244140625,10699.735456020338
2017-01-06,ECH,2017,RF,5,0.64,0.0,0.4122058945252776,-0.0,0.0,-0.0,0.0,-0.01723620724394559,27.529422760009766,649.6500244140625,17884.490168145392
2017-01-09,QQQ,2017,LOGIT,20,0.52,1.0,0.7780011581333038,0.029765902507190356,0.0,0.029765902507190356,1.0,0.029765902507190356,114.6555404663086,666.7999877929688,76452.3129833308
2017-01-09,CPER,2017,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.033877140673292505,16.59000015258789,666.7999877929688,11062.211899230955
2017-01-09,ECH,2017,RF,5,0.64,0.0,0.42628398885058294,0.0,0.0,0.0,0.0,0.017649453900167256,27.294754028320312,666.7999877929688,18200.14165289607
2017-01-10,CPER,2017,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.005975443616459408,17.040000915527344,653.0700073242188,11128.313522708137
2017-01-10,ECH,2017,RF,5,0.64,0.0,0.41797573727761356,-0.0,0.0,-0.0,0.0,-0.015591526510653875,27.434078216552734,653.0700073242188,17916.373661817284
2017-01-10,QQQ,2017,LOGIT,20,0.52,1.0,0.8069104890166018,-0.0184292372974455,0.0,-0.0184292372974455,1.0,-0.0184292372974455,114.9085922241211,653.0700073242188,75043.35516542243
2017-01-11,ECH,2017,RF,5,0.64,0.0,0.3937747228250455,0.0,0.0,0.0,0.0,0.02001295991483998,27.74941635131836,658.5700073242188,18274.933329730527
2017-01-11,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.000455280213931486,16.889999389648438,658.5700073242188,11123.247021746822
2017-01-11,QQQ,2017,LOGIT,20,0.52,1.0,0.821132946524564,0.01113616417065244,0.0,0.01113616417065244,1.0,0.01113616417065244,115.2178955078125,658.5700073242188,75879.05028846115
2017-01-12,ECH,2017,RF,5,0.64,0.0,0.38492479131528884,0.0,0.0,0.0,0.0,0.00826617312704614,28.167417526245117,654.1599731445312,18425.997092519305
2017-01-12,CPER,2017,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.01918012451960771,17.329999923706055,654.1599731445312,11336.592284686281
2017-01-12,QQQ,2017,LOGIT,20,0.52,1.0,0.8505149872506892,-0.008231602226266066,0.0,-0.008231602226266066,1.0,-0.008231602226266066,115.0398178100586,654.1599731445312,75254.4441291797
2017-01-13,QQQ,2017,LOGIT,20,0.52,1.0,0.8566581025684106,0.0024710087273083214,0.0,0.0024710087273083214,1.0,0.0024710087273083214,115.43348693847656,653.5399780273438,75440.39851739164
2017-01-13,ECH,2017,RF,5,0.64,0.0,0.36708421089077137,0.0,0.0,0.0,0.0,0.0073756784393674835,28.402090072631836,653.5399780273438,18561.901321998448
2017-01-13,CPER,2017,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.0140409061682496,17.59000015258789,653.5399780273438,11495.768313223263
2017-01-17,QQQ,2017,LOGIT,20,0.52,1.0,0.8964637295818914,-0.012828898570258374,0.0,-0.012828898570258374,1.0,-0.012828898570258374,115.086669921875,647.0999755859375,74472.58129671216
2017-01-17,ECH,2017,RF,5,0.64,0.0,0.4012777048206814,-0.0,0.0,-0.0,0.0,-0.010365431122466906,28.387420654296875,647.0999755859375,18369.499212343246
2017-01-17,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.035747612800387185,17.1299991607666,647.0999755859375,11084.822038719198
2017-01-18,QQQ,2017,LOGIT,20,0.52,1.0,0.9253531141100256,-0.003197770105058173,0.0,-0.003197770105058173,1.0,-0.003197770105058173,115.32100677490234,643.719970703125,74234.43510259502
2017-01-18,ECH,2017,RF,5,0.64,0.0,0.40544874655279267,-0.0,0.0,-0.0,0.0,-0.0005975871202931193,28.51942253112793,643.719970703125,18358.521836207714
2017-01-18,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.005803936213470529,17.1200008392334,643.719970703125,11020.486438668799
2017-01-19,QQQ,2017,LOGIT,20,0.52,1.0,0.853204820764041,0.006282184175879557,0.0,0.006282184175879557,1.0,0.006282184175879557,115.26476287841797,648.0800170898438,74700.7894961019
2017-01-19,ECH,2017,RF,5,0.64,0.0,0.44397450227357177,0.0,0.0,0.0,0.0,0.003666576059289106,28.431419372558594,648.0800170898438,18425.834752856288
2017-01-19,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.00028366698320014816,17.0,648.0800170898438,11017.360290527344
2017-01-20,CPER,2017,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.027246190495113787,17.139999389648438,660.2999877929688,11317.541387756355
2017-01-20,QQQ,2017,LOGIT,20,0.52,1.0,0.8151266011836132,0.02109237494022209,0.0,0.02109237494022209,1.0,0.02109237494022209,115.51780700683594,660.2999877929688,76276.40655648429
2017-01-20,ECH,2017,RF,5,0.64,0.0,0.4117840529215767,0.0,0.0,0.0,0.0,0.0246373165505287,28.592758178710938,660.2999877929688,18879.79787637014
2017-01-23,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.013598551006722581,17.329999923706055,644.1799926757812,11163.639223924256
2017-01-23,ECH,2017,RF,5,0.64,0.0,0.42348101088830753,-0.0,0.0,-0.0,0.0,-0.014154431619510355,28.893423080444336,644.1799926757812,18612.56506833888
2017-01-23,QQQ,2017,LOGIT,20,0.52,1.0,0.8537098033124516,-0.023621517076285348,0.0,-0.023621517076285348,1.0,-0.023621517076285348,115.61154174804688,644.1799926757812,74474.64211649261
2017-01-24,CPER,2017,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.011455764761146181,17.729999542236328,636.8599853515625,11291.527248751838
2017-01-24,QQQ,2017,LOGIT,20,0.52,1.0,0.8379699069679719,-0.004710854626169825,0.0,-0.004710854626169825,1.0,-0.004710854626169825,116.38948059082031,636.8599853515625,74123.80290414579
2017-01-24,ECH,2017,RF,5,0.64,0.0,0.43567310766662165,-0.0,0.0,-0.0,0.0,-0.008603252548121332,28.97408676147461,636.8599853515625,18452.43647048762
2017-01-25,QQQ,2017,LOGIT,20,0.52,1.0,0.775156675926613,0.034236912129617325,0.0,0.034236912129617325,1.0,0.034236912129617325,117.56107330322266,652.0999755859375,76661.5730308881
2017-01-25,CPER,2017,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.023929891318202667,17.729999542236328,652.0999755859375,11561.732268630993
2017-01-25,ECH,2017,RF,5,0.64,0.0,0.38733062190085404,0.0,0.0,0.0,0.0,0.038702048249705134,29.392093658447266,652.0999755859375,19166.58355709305
2017-01-26,QQQ,2017,LOGIT,20,0.52,1.0,0.7864005424033222,-0.005411307696844836,0.0,-0.005411307696844836,1.0,-0.005411307696844836,117.68286895751953,647.9000244140625,76246.73367069382
2017-01-26,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.021010630704020428,17.469999313354492,647.9000244140625,11318.81298163603
2017-01-26,ECH,2017,RF,5,0.64,0.0,0.36016165948963286,-0.0,0.0,-0.0,0.0,-0.012638085628296714,29.208757400512695,647.9000244140625,18924.354632896604
2017-01-27,QQQ,2017,LOGIT,20,0.52,1.0,0.8158803603709884,-0.012980115782117885,0.0,-0.012980115782117885,1.0,-0.012980115782117885,117.90784454345703,638.27001953125,75257.04223963991
2017-01-27,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.006404797212879565,17.6200008392334,638.27001953125,11246.318279798143
2017-01-27,ECH,2017,RF,5,0.64,0.0,0.4073784614700251,-0.0,0.0,-0.0,0.0,-0.02450969306909956,28.92275047302246,638.27001953125,18460.524509313516
2017-01-30,CPER,2017,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.00588905572404852,17.420000076293945,649.4000244140625,11312.548474838259
2017-01-30,ECH,2017,RF,5,0.64,0.0,0.43352083080374165,0.0,0.0,0.0,0.0,0.005571257289794795,28.585420608520508,649.4000244140625,18563.372841059463
2017-01-30,QQQ,2017,LOGIT,20,0.52,1.0,0.6012325260535514,0.009511856485020731,0.0,0.009511856485020731,1.0,0.009511856485020731,116.98933410644531,649.4000244140625,75972.8764249105
2017-01-31,ECH,2017,RF,5,0.64,0.0,0.44959485718458964,-0.0,0.0,-0.0,0.0,-0.005176395392468391,28.5120906829834,647.7000122070312,18467.28148341633
2017-01-31,QQQ,2017,LOGIT,20,0.52,1.0,0.6457329439627201,-0.004615572735717444,0.0,-0.004615572735717444,1.0,-0.004615572735717444,116.7550048828125,647.7000122070312,75622.21808782965
2017-01-31,CPER,2017,CASH,5,,0.0,,0.0,0.0,0.0,0.0,0.01799401676782386,17.780000686645508,647.7000122070312,11516.10666178132
2017-02-01,ECH,2017,RF,5,0.64,0.0,0.4664424336086485,0.0,0.0,0.0,0.0,0.002264368049386567,28.56342315673828,648.0,18509.098205566406
2017-02-01,CPER,2017,CASH,5,,0.0,,-0.0,0.0,-0.0,0.0,-0.005163764610201627,17.68000030517578,648.0,11456.640197753906
2017-02-01,QQQ,2017,LOGIT,20,0.52,0.0,0.44179262722126295,0.007370286494523315,0.0,0.007370286494523315,1.0,0.007370286494523315,117.56107330322266,648.0,76179.57550048828
