asset,test_year,reason,meta_used,meta_backtest_mean_utility,robust_backtest_mean_utility,meta_advantage,n_meta_folds
QQQ,2017,historia insuficiente,False,,,,
QQQ,2018,historia insuficiente,False,,,,
QQQ,2019,historia insuficiente,False,,,,
QQQ,2020,pocas pruebas meta,False,,,,
QQQ,2021,,True,1.6123558050182418,1.4473181136219637,0.1650376913962781,2.0
QQQ,2022,,True,1.7582333555367562,1.3277015260070424,0.4305318295297138,3.0
QQQ,2023,,True,1.0431959096143266,0.7202970374670412,0.3228988721472854,4.0
QQQ,2024,,True,1.2687271786980534,0.8670406076013286,0.4016865710967248,5.0
QQQ,2025,,True,1.3367663770804101,0.9330505329386832,0.4037158441417269,6.0
QQQ,2026,,True,1.178602302970442,0.8539698949544414,0.3246324080160006,7.0
ECH,2017,historia insuficiente,False,,,,
ECH,2018,historia insuficiente,False,,,,
ECH,2019,historia insuficiente,False,,,,
ECH,2020,pocas pruebas meta,False,,,,
ECH,2021,,False,-0.282968535499112,-0.43415858603638413,0.15119005053727214,2.0
ECH,2022,,False,-0.18864569033274134,-0.2894390573575894,0.10079336702484806,3.0
ECH,2023,,False,-0.141484267749556,0.01637686861730206,-0.15786113636685806,4.0
ECH,2024,,False,-0.11595666045362041,0.20107507747752568,-0.3170317379311461,5.0
ECH,2025,,False,-0.12422914076152751,0.19630993870089722,-0.3205390794624247,6.0
ECH,2026,,False,0.10084083474241456,0.2917307075959134,-0.19088987285349884,7.0
CPER,2017,historia insuficiente,False,,,,
CPER,2018,historia insuficiente,False,,,,
CPER,2019,historia insuficiente,False,,,,
CPER,2020,pocas pruebas meta,False,,,,
CPER,2021,,False,-0.416697097123378,-0.17252259823084165,-0.24417449889253634,2.0
CPER,2022,,False,0.26737899652886826,0.38204491192534107,-0.1146659153964728,3.0
CPER,2023,,False,0.09416498322355132,0.24386731926327324,-0.1497023360397219,4.0
CPER,2024,,False,0.048416997878809036,0.2829144923946581,-0.23449749451584906,5.0
CPER,2025,,False,0.2251413461005828,0.3463389323343391,-0.12119758623375629,6.0
CPER,2026,,False,0.3542624249029083,0.5012210487442081,-0.14695862384129982,7.0
