,portfolio_gross_ret,portfolio_turnover,portfolio_net_ret,capital_clp,benchmark_ret,benchmark_capital_clp
2017-01-03,0.0,0.0,0.0,10000000.0,0.002423077746828095,10024230.77746828
2017-01-04,0.0,0.3,-0.00045,9995500.0,0.008634213977428317,10110782.130960066
2017-01-05,0.0015777463692083105,0.0,0.0015777463692083105,10011270.363833422,0.002718815613235204,10138271.483279739
2017-01-06,-0.0003668586100459614,0.0,-0.0003668586100459614,10007597.643102953,-0.008689841741381198,10050171.50855888
2017-01-09,0.008929667698607013,0.0,0.008929667698607013,10096962.164517224,0.024387560735025106,10295270.676621277
2017-01-10,-0.005528790697599572,0.0,-0.005528790697599572,10041138.174028026,-0.008413512485413232,10208651.288242815
2017-01-11,0.0033409096183889763,0.0,0.0033409096183889763,10074684.709133208,0.009208213286898848,10302654.726676533
2017-01-12,-0.0024695595657955537,0.0,-0.0024695595657955537,10049804.675137395,0.0057643089373311755,10362042.411395751
2017-01-13,0.0007413028222515994,0.0,0.0007413028222515994,10057254.62370615,0.007166197023893249,10436298.84888575
2017-01-17,-0.0038485323195165955,0.0,-0.0038485323195165955,10018548.95424121,-0.017682385693444477,10251760.187427701
2017-01-18,-0.0009594301121243708,0.0,-0.0009594301121243708,10008936.856694719,-0.00287986696732051,10222236.481907036
2017-01-19,0.0018847351702133252,0.0,0.0018847351702133252,10027801.052004976,0.002899668491768514,10251877.578949029
2017-01-20,0.006327671885891739,0.0,0.006327671885891739,10091253.686799064,0.021892641629446506,10476318.260813918
2017-01-23,-0.007086532457938932,0.0,-0.007086532457938932,10019741.690006267,-0.015412387993187324,10314853.179038139
2017-01-24,-0.0014131972751580733,0.0,-0.0014131972751580733,10005581.818352163,-0.0005574240869764542,10309103.431422517
2017-01-25,0.01027103336738433,0.0,0.01027103336738433,10108349.483068552,0.029060594432866394,10608692.10520956
2017-01-26,-0.0016232955500031787,0.0,-0.0016232955500031787,10091940.644334812,-0.01171785230128064,10484381.018010952
2017-01-27,-0.003894111484333362,0.0,-0.003894111484333362,10052641.502372498,-0.013168419215057136,10346318.293555394
2017-01-30,0.0028535567916489588,0.0,0.0028535567916489588,10081327.285805603,0.0062915715889096495,10411412.895780943
2017-01-31,-0.0013846523466809811,0.0,-0.0013846523466809811,10067368.152321653,0.002460574273497818,10437030.950503064
2017-02-01,0.0022110467229987663,0.0,0.0022110467229987663,10089627.573684068,0.0013411675564928727,10451028.757799992
2017-02-02,-0.0011420149009608526,0.0,-0.0011420149009608526,10078105.068649774,-0.0017083912160317685,10433174.312071672
2017-02-03,-0.001047309864022905,0.0,-0.001047309864022905,10067550.16980072,-0.0055745304187928,10375014.264504459
2017-02-06,-0.0002502284473329896,0.0,-0.0002502284473329896,10065030.982353283,-0.0026760582506293313,10347250.121981535
2017-02-07,0.0009557468396069524,0.0,0.0009557468396069524,10074650.60390521,-0.0013787879114902533,10332983.458596181
2017-02-08,0.0031734885815713374,0.0,0.0031734885815713374,10106622.392560026,0.014324641535861413,10480999.742636556
2017-02-09,0.001650138320917538,0.0,0.001650138320917538,10123299.71746503,0.0019567628786965057,10501508.573864575
2017-02-10,-0.0035877426535706244,0.0,-0.0035877426535706244,10086979.923273802,0.008282556809761,10588487.915215801
